;Cod_setor;lat;long;TIPO;income;longevity;literacy;population
271;352215805000004;-48.89321158019003;-24.66756017077617;URBANO;0.5088621993267725;0.8833333333333333;0.9444444444444444;103.0
272;352215805000005;-48.8741554024769;-24.604056475095796;URBANO;0.515684015809457;0.7833333333333333;0.9467353951890036;245.0
273;352215805000006;-48.78657651202817;-24.644306276580757;URBANO;0.5321242012932006;0.7833333333333333;0.9102496483825598;333.0
274;352215805000007;-48.79262922348087;-24.626840677061537;RURAL;0.4532328531235402;0.7333333333333333;0.8525339427342384;723.0
275;352215805000008;-48.889446730667366;-24.635528813438825;RURAL;0.4977746490465489;0.7833333333333333;0.9534686971235194;541.0
276;352215805000009;-48.851172691949316;-24.586250764369964;RURAL;0.4975836811950185;0.8;0.9406952965235176;204.0
277;352265305000001;-49.172855499271805;-24.571431625400557;URBANO;0.5616902226130883;0.7666666666666667;0.9401767374289852;753.0
278;352265305000002;-49.17129690325984;-24.574649041467673;URBANO;0.5242582787811646;0.75;0.8917748917748917;601.0
279;352265305000003;-49.1691040334926;-24.57418829503762;URBANO;0.4474341835041263;0.7333333333333333;0.9381661803102442;535.0
280;352265305000004;-49.18238120029973;-24.619816228781207;RURAL;0.4046846780004573;0.8;0.9724770642201834;155.0
281;352265305000005;-49.259903101683236;-24.62237480828278;RURAL;0.4310300937254084;0.7333333333333333;0.9417116259388556;202.0
282;352265305000006;-49.224034677096654;-24.494265792532467;RURAL;0.5205358652298132;0.8;0.950047266033136;551.0
283;352265305000007;-49.24196418507667;-24.514057280151963;RURAL;0.4658153340635473;0.8333333333333334;0.8605475040257651;252.0
284;352265305000008;-49.20942615746537;-24.453996947656606;RURAL;0.4551938731097527;0.7666666666666667;0.93673807035876;343.0
285;352265305000009;-49.17382229553863;-24.531558957794648;RURAL;0.44855150620544776;0.8333333333333334;0.95679012345679;483.0
286;352330505000001;-47.17629425998838;-24.292490668986826;URBANO;0.6353734425823893;0.9166666666666666;0.9823638802512042;653.0
287;352330505000002;-47.17809520362049;-24.286172099042602;URBANO;0.6263694890006625;0.8833333333333333;0.9487467013538464;656.0
288;352330505000003;-47.1719828421651;-24.2870516035512;URBANO;0.6065359754731584;0.9;0.964157610861652;835.0
289;352330505000004;-47.17095543307283;-24.2911180335909;URBANO;0.6170777997899479;0.8666666666666667;0.9590762090762092;721.0
290;352330505000005;-47.16614109531712;-24.301043047151;URBANO;0.5602637359764089;0.8166666666666667;0.9728218504527194;604.0
291;352330505000006;-47.189185373788156;-24.289476962922105;URBANO;0.5344164183307735;0.85;0.9573582580592661;718.0
292;352330505000007;-47.16336686544478;-24.281874845887792;RURAL;0.518164192690863;0.7833333333333333;0.8597000483792936;77.0
293;352330505000010;-47.13962729689246;-24.287413898974513;RURAL;0.5329329630312286;0.5833333333333334;0.8153846153846155;21.0
294;352330505000011;-47.12809665920692;-24.293901295062565;RURAL;0.3889501021032861;0.3;0.6333333333333333;18.0
295;352330505000013;-47.16148180064239;-24.256912093578368;RURAL;0.4718419264405598;0.7666666666666667;0.8950397369142231;410.0
296;352330505000014;-47.14380113884784;-24.279587437335188;RURAL;0.5941473196545466;0.7166666666666667;0.8285714285714286;43.0
297;352330505000015;-47.12427396375645;-24.29054890329647;RURAL;0.6522097801748932;0.6833333333333333;0.7555555555555555;43.0
298;352330505000016;-47.16255539646069;-24.328401682945074;RURAL;0.3877139518746809;0.6833333333333333;0.9593646864686468;145.0
299;352330505000017;-47.199107906068534;-24.315422639073;RURAL;0.528538168151659;0.7333333333333333;0.9658119658119658;53.0
300;352330505000018;-47.1238418744436;-24.255880491700932;URBANO;0.5088866533200616;0.7666666666666667;0.9753086419753086;121.0
301;352330505000019;-47.11181127066871;-24.29619090970186;RURAL;0.5452658843818227;0.7833333333333333;0.9384496124031008;127.0
302;352330505000020;-47.16840069199679;-24.343509392508416;RURAL;0.6126944750558397;0.5833333333333334;1.0;17.0
303;352330505000023;-47.12248669816795;-24.236088976521305;RURAL;0.5430420283161501;0.7166666666666667;0.9267094017094016;455.0
304;352330505000024;-47.18449339989778;-24.280936146459087;URBANO;0.5449130149394309;0.7833333333333333;0.9546850998463904;196.0
305;352330505000026;-47.140851791829675;-24.299890593146582;URBANO;0.515754924326913;0.7333333333333333;0.9460570875665216;145.0
306;352330505000027;-47.137654259606066;-24.296063402022124;URBANO;0.5120775299200944;0.85;0.94915593771429;603.0
307;352330505000028;-47.13403209218882;-24.297958969227647;URBANO;0.5283920548137347;0.7666666666666667;0.8748473748473748;102.0
308;352330505000029;-47.14939257124257;-24.304280018641972;URBANO;0.5456419045103004;1.0;0.9477124183006536;58.0
309;352330505000031;-47.18323298105522;-24.32227455264958;URBANO;0.5737269635875241;0.8333333333333334;0.9672493469961824;305.0
310;352330505000032;-47.18124844263932;-24.33512135086531;URBANO;0.6026905460472644;0.7666666666666667;0.9575757575757576;63.0
311;352330505000034;-47.14316419264107;-24.271691456180744;URBANO;0.6733819562405076;0.75;0.7281323877068558;61.0
312;352330505000035;-47.13539400722198;-24.307114734376412;URBANO;0.5789230350127121;0.9166666666666666;0.7547892720306514;34.0
313;352330505000037;-47.16119884008523;-24.316277624188274;RURAL;0.4545041309502377;0.7833333333333333;1.0;15.0
314;352330505000038;-47.19253497178358;-24.279718802817392;RURAL;0.6446360589980775;0.8;0.9666666666666668;22.0
315;352330505000039;-47.18934167684001;-24.300267936700052;URBANO;0.4842594199019515;0.85;0.9133009117143218;507.0
316;352330510000001;-47.06704580471847;-24.30005028845508;URBANO;0.5677684667240529;0.8666666666666667;0.970623921757078;1277.0
317;352330510000002;-47.08452704539037;-24.304422972381502;RURAL;0.5662569557214232;0.6;0.988095238095238;39.0
318;352330510000005;-47.07560044987617;-24.28560238477899;RURAL;0.3013571499916564;0.5;0.8359456635318704;44.0
319;352330510000006;-47.04676555249031;-24.28140029112833;URBANO;0.5021360253786041;0.6833333333333333;0.9;79.0
320;352330510000007;-47.03990225472838;-24.277963199504335;RURAL;0.4573808328464953;0.8833333333333333;0.9411764705882352;18.0
321;352330510000008;-47.04012209119526;-24.290379948218952;URBANO;0.4539039652439161;0.7833333333333333;0.9528735632183908;631.0
322;352330510000009;-47.029161138769595;-24.285771259293632;RURAL;0.4764178723841063;0.8166666666666667;0.9152862539959312;1979.0
323;352330510000010;-47.02891968116584;-24.294942248504807;RURAL;0.43092885639693695;0.6833333333333333;0.91047755683082;714.0
324;352330510000011;-47.04492382326029;-24.305732478513765;RURAL;0.4907224426324706;0.9333333333333332;0.9313725490196078;44.0
325;352330510000014;-47.09128648761168;-24.3132048515006;RURAL;0.4744620491140796;0.7166666666666667;0.9297196261682243;157.0
326;352330510000015;-47.07070060110536;-24.25241063865886;RURAL;0.5236930316599011;0.8333333333333334;0.9037378392217099;134.0
327;352330510000020;-47.09398402388983;-24.34398849010428;RURAL;0.344377879878224;0.8;0.7589285714285715;30.0
328;352330510000023;-47.0656085169052;-24.29906949512008;RURAL;0.6410057193477454;0.8166666666666667;0.8958730158730158;98.0
329;352330510000024;-47.034997176278196;-24.292575488839788;URBANO;0.5174147033685109;0.7666666666666667;0.8642184557438796;243.0
330;352330510000025;-47.02971600956555;-24.306076642805316;URBANO;0.4608275186151515;0.7833333333333333;0.9697933227344993;914.0
331;352330510000028;-47.05621888183318;-24.310783210428653;URBANO;0.5062215183476726;0.8833333333333333;0.9738562091503268;73.0
332;352330510000029;-47.07589247137745;-24.30976011319792;URBANO;0.5641641038792089;0.8166666666666667;0.8714285714285714;228.0
333;352330510000031;-47.026192908590595;-24.29621674478369;RURAL;0.4782556233843986;0.75;0.9213206705334948;806.0
334;352460005000001;-48.005239216359485;-24.69812143770999;URBANO;0.7038784445790335;0.8833333333333333;0.983447488584475;700.0
335;352460005000002;-47.99989867008307;-24.691573748690544;URBANO;0.6794113382381677;0.9166666666666666;0.9401143616390252;784.0
336;352460005000003;-48.00027730902947;-24.70533433769757;URBANO;0.6692001339877778;0.7333333333333333;0.9720418470418468;861.0
337;352460005000004;-48.00366889806215;-24.701013188318186;URBANO;0.5898921668762144;0.85;0.9505333228503288;713.0
338;352460005000005;-48.00652054829413;-24.70366592879917;URBANO;0.6605332231349555;0.85;0.9834710743801652;742.0
339;352460005000006;-48.003727308049896;-24.708462662523676;URBANO;0.6077875984061278;0.7333333333333333;0.9649000974658871;829.0
340;352460005000007;-48.00875955513946;-24.708887875564553;URBANO;0.5772828649602031;0.75;0.9586176022920584;995.0
341;352460005000008;-48.011123145806216;-24.705764281939317;URBANO;0.5866891700103358;0.85;0.9234687909414186;1075.0
342;352460005000009;-48.01330098850845;-24.702778269191214;URBANO;0.6152222812831918;0.7333333333333333;0.9666836692815516;1130.0
343;352460005000010;-48.00912751658896;-24.696439269085005;URBANO;0.6406526984077261;0.85;0.9733700642791552;892.0
344;352460005000011;-48.04798195141252;-24.685585181303914;RURAL;0.5062921535060269;0.7;0.9536175710594316;394.0
345;352460005000012;-48.092457964744554;-24.6378831021647;RURAL;0.4917894989648733;0.7666666666666667;0.9106398760826409;640.0
346;352460005000013;-48.03563138587713;-24.605274850884342;RURAL;0.5029797014559915;0.8166666666666667;0.9039601955509272;726.0
347;352460005000014;-47.99309068526708;-24.642468170511485;RURAL;0.5211633827826035;0.85;0.8477548344804982;318.0
348;352460005000015;-47.95540501607757;-24.668219503287077;RURAL;0.5293843643075716;0.85;0.9691567776674159;581.0
